dataset,Beam_Size,Plaintext-Transformer,BFP-Transformer,Bug2Fix-Transformer,SeuenceR,BFP-RNN,Bug2Fix
small,1,0.08277635,0.164010283,0.122365039,0.030162811,0.105741217,0.280205656
small,5,0.210282776,0.309340189,0.323221937,0.131105398,0.290488432,0.442502142
small,10,0.259811482,0.367952014,0.40856898,0.200514139,0.370008569,0.524421594
small,15,0.284318766,0.401885176,0.445072836,0.234447301,0.414053128,0.567780634
small,20,0.299057412,0.420222793,0.469237361,0.254498715,0.441473865,0.592116538
small,25,0.309854327,0.435818338,0.488089117,0.26958012,0.460325621,0.601371037
small,30,0.319108826,0.449871465,0.503513282,0.280034276,0.476778063,0.62159383
small,35,0.325792631,0.461182519,0.514824336,0.29117395,0.488946015,0.640959726
small,40,0.332819195,0.471979434,0.524592973,0.298543273,0.498371894,0.648671808
small,45,0.336418166,0.478834619,0.532476435,0.302142245,0.507283633,0.652956298
small,50,0.341045416,0.486032562,0.539674379,0.307455013,0.51293916,0.668037704
median,1,0.000458365,0.063865546,0.070435447,0.010236822,0.01420932,0.134148205
median,5,0.002291826,0.162261268,0.170053476,0.063712758,0.118411001,0.231474408
median,10,0.003055768,0.209931245,0.22276547,0.091520244,0.169442322,0.298701299
median,15,0,0.237433155,0.255309396,0.11275783,0.197249809,0.327119939
median,20,0,0.253628724,0.278991597,0.126661574,0.216959511,0.354316272
median,25,0,0.271352177,0.291061879,0.13934301,0.231627196,0.365622613
median,30,0,0.284644767,0.305271199,0.150496562,0.243391902,0.379220779
median,35,0,0.299159664,0.317341482,0.156302521,0.253781513,0.381359817
median,40,0,0.306799083,0.326508785,0.16302521,0.260351413,0.388693659
median,45,0,0.315355233,0.337203972,0.16867838,0.267990833,0.400458365
median,50,0,0.324064171,0.344537815,0.184110008,0.276699771,0.41038961
big,1,0.006976744,0.010852713,0.111627907,0.087596899,0.055813953,0.173643411
big,5,0.019379845,0.052713178,0.217054264,0.102325581,0.094573643,0.313178295
big,10,0.024806202,0.070542636,0.243410853,0.105426357,0.109302326,0.355813953
big,15,0.026356589,0.082170543,0.258914729,0.107751938,0.117829457,0.36744186
big,20,0.027906977,0.091472868,0.272868217,0.107751938,0.124031008,0.388372093
big,25,0.029457364,0.096899225,0.280620155,0.109302326,0.127906977,0.39379845
big,30,0.031007752,0.101550388,0.29379845,0.109302326,0.13255814,0.395348837
big,35,0.031007752,0.105426357,0.297674419,0.110077519,0.137209302,0.403100775
big,40,0.031007752,0.109302326,0.303875969,0.110077519,0.140310078,0.406976744
big,45,0.034883721,0.115503876,0.306976744,0.110077519,0.141860465,0.414728682
big,50,0.035658915,0.124031008,0.317829457,0.110077519,0.142635659,0.424031008
